"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";  
04183;05232;01046;08359;00527;08888;00526;08887;
04183;05231;01047;08360;00526;08888;00526;08888;
04166;05216;01046;08336;00527;08856;00526;08855;
04167;05216;01047;08336;00526;08855;00526;08855;
04158;05200;01038;08312;00518;08832;00519;08831;
04159;05200;01038;08312;00518;08832;00518;08831;
04142;05184;01039;08287;00518;08799;00519;08800;
04142;05183;01038;08288;00517;08800;00518;08800;
04134;05168;01038;08264;00518;08775;00518;08776;
04134;05167;01038;08263;00518;08776;00519;08776;
04118;05152;01031;08232;00519;08752;00518;08751;
04119;05151;01031;08231;00518;08752;00518;08752;
04102;05136;01030;08207;00518;08720;00518;08719;
04103;05135;01031;08208;00518;08719;00518;08720;
04094;05120;01023;08183;00510;08695;00510;08696;
04095;05119;01022;08184;00511;08696;00511;08696;
04078;05104;01022;08160;00511;08671;00510;08671;
04079;05103;01023;08160;00510;08671;00510;08672;
04070;05088;01022;08135;00511;08640;00511;08639;
04070;05087;01022;08135;00511;08639;00510;08639;
