
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
02304;02762;00573;04453;00436;04587;00440;04551;00036;000;04364;005;
02322;02788;00577;04490;00440;04640;00444;04595;00036;000;04475;005;
02337;02805;00579;04515;00441;04658;00443;04619;00036;000;04563;005;
02355;02830;00584;04557;00446;04709;00449;04664;00035;000;04545;005;
02372;02846;00588;04580;00446;04729;00449;04690;00036;000;04642;005;
02389;02872;00591;04625;00452;04781;00455;04736;00035;000;04750;005;
02406;02890;00597;04647;00451;04802;00456;04763;00036;000;04714;005;
02424;02915;00600;04695;00456;04856;00461;04810;00035;000;04822;005;
02443;02932;00606;04718;00457;04877;00460;04836;00035;000;00047;006;
02460;02960;00612;04763;00461;04937;00464;04884;00035;000;04918;005;
02481;02977;00614;04790;00463;04955;00467;04911;00035;000;00068;006;
02500;03005;00621;04838;00467;05012;00473;04965;00036;000;00127;006;
02518;03021;00627;04864;00469;05033;00473;04992;00036;000;00071;006;
02537;03050;00632;04915;00470;05097;00478;05046;00036;000;00135;006;
02556;03071;00637;04939;00476;05115;00479;05071;00036;000;00224;006;
02575;03104;00641;04992;00480;05181;00483;05127;00036;000;00201;006;
02598;03125;00646;05018;00482;05201;00484;05156;00036;000;00293;006;
02618;03155;00655;05071;00487;05268;00488;05214;00035;000;00231;006;
02642;03177;00655;05104;00490;05287;00491;05243;00035;000;00337;006;
02665;03208;00663;05161;00494;05357;00496;05306;00035;000;00434;006;
02688;03231;00667;05191;00497;05379;00498;05335;00035;000;00408;006;
02710;03266;00677;05248;00501;05454;00510;05394;00035;000;00491;006;
02733;03292;00680;05280;00505;05477;00506;05432;00035;000;00087;007;
02757;03328;00688;05344;00509;05557;00510;05500;00036;000;00062;007;
02786;03350;00693;05378;00513;05579;00513;05534;00036;000;00178;007;
02807;03391;00703;05444;00519;05663;00520;05606;00036;000;00144;007;
02838;03416;00707;05481;00521;05684;00525;05641;00035;000;00290;007;
02865;03456;00717;05551;00527;05776;00528;05718;00035;000;00258;007;
02897;03482;00723;05586;00530;05802;00532;05754;00035;000;00288;007;
02923;03528;00734;05664;00538;05898;00540;05836;00035;000;00294;007;
02956;03557;00739;05703;00539;05925;00543;05875;00035;000;00356;007;
02984;03605;00749;05787;00547;06029;00549;05966;00036;000;00350;007;
03021;03631;00758;05825;00548;06056;00553;06007;00036;000;00348;007;
03052;03678;00767;05914;00554;06168;00559;06100;00035;000;00382;007;
03086;03712;00777;05955;00557;06194;00563;06145;00036;000;00376;007;
03121;03761;00787;06047;00563;06312;00570;06244;00036;000;00556;007;
03158;03796;00794;06091;00567;06342;00572;06288;00036;000;00545;007;
03193;03851;00808;06189;00574;06466;00578;06394;00035;000;00636;007;
03233;03883;00817;06233;00576;06497;00583;06443;00035;000;00623;007;
03272;03940;00829;06335;00583;06628;00590;06556;00035;000;00835;007;
03311;03975;00838;06383;00586;06660;00595;06605;00036;000;00833;007;
03346;04039;00852;06488;00597;06797;00602;06722;00035;000;00947;007;
03390;04075;00864;06536;00601;06827;00611;06772;00035;000;00954;007;
03432;04137;00876;06649;00610;06970;00618;06898;00035;000;01074;007;
03475;04181;00885;06702;00613;07006;00622;06950;00035;000;01081;007;
03519;04245;00899;06821;00624;07155;00633;07083;00036;000;01184;007;
03567;04288;00913;06877;00627;07192;00638;07139;00035;000;01206;007;
